|      x0a15       |      x16a31      |      y0a15       |      y16a31      |zx |nx |zy |ny | f |no |       out1       |       out2       |zr |ng |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 0 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 0 | 1 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 0 | 1 | 1111111111111110 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 1 | 1 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000000010 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 1 | 0 | 1111111111111110 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 1 | 0 | 0 | 1 | 1 | 1111111111111110 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000000010 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 0 | 0 | 1111111111111111 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 0 | 1 | 0000000000000000 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 0 | 1 | 1111111111111110 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 1 | 1 | 0000000000000001 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 1 | 1 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000000000 | 0000000000000001 | 0 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000000010 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 1 | 0 | 1111111111111110 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000000000 | 0000000000000001 | 0 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 1 | 0 | 0 | 1 | 1 | 1111111111111110 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000000010 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0000000000000000 | 0000000000000001 | 0000000000000000 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 0 | 0 | 1111111111111111 | 0111111111111111 | 0 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 0 | 1 | 0000000000000000 | 1000000000000000 | 0 | 1 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 0 | 1 | 1111111111111110 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 1 | 1 | 0000000000000001 | 1000000000000000 | 0 | 1 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 1 | 1 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000000000 | 1000000000000000 | 0 | 1 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000000010 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 1 | 1 | 1 | 0 | 1111111111111110 | 0111111111111111 | 0 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 0 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000000000 | 1000000000000000 | 0 | 1 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 1 | 0 | 0 | 1 | 1 | 1111111111111110 | 0111111111111111 | 0 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000000010 | 1000000000000000 | 0 | 1 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 0111111111111111 | 0000000000000001 | 0000000000000000 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 0111111111111111 | 0 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000000000 | 1000000000000000 | 0 | 1 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 1 | 1 | 0 | 0 | 0 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111111111 | 0111111111111111 | 0 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 1 | 1 | 0 | 0 | 0 | 1 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 0 | 1 | 1 | 1 | 1 | 0000000000000000 | 1000000000000000 | 0 | 1 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 1 | 1 | 0 | 0 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 1000000000000000 | 0 | 1 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 0 | 1 | 1 | 1 | 0 | 1111111111111111 | 0111111111111111 | 0 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 1 | 1 | 0 | 0 | 1 | 0 | 1111111111111110 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 0 | 0 | 0 | 1 | 0 | 1111111111111111 | 0111111111111111 | 0 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000000001 | 1000000000000000 | 0 | 1 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111111111 | 0111111111111111 | 0 | 0 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 1000000000000000 | 0 | 1 |
| 0000000000000000 | 1000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 0 | 1 | 1 | 0 | 0 | 0110000101001110 | 0000000010111100 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 1 | 1 | 0 | 0 | 0 | 0 | 0111111110110001 | 0000010100111001 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 0 | 1 | 1 | 0 | 1 | 1001111010110001 | 1111111101000011 | 0 | 1 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 1 | 1 | 0 | 0 | 0 | 1 | 1000000001001110 | 1111101011000110 | 0 | 1 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 0 | 1 | 1 | 1 | 1 | 1001111010110010 | 1111111101000011 | 0 | 1 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 1 | 1 | 0 | 0 | 1 | 1 | 1000000001001111 | 1111101011000110 | 0 | 1 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 1 | 1 | 1 | 1 | 1 | 0110000101001111 | 0000000010111100 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 1 | 1 | 0 | 1 | 1 | 1 | 0111111110110010 | 0000010100111001 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 0 | 1 | 1 | 1 | 0 | 0110000101001101 | 0000000010111100 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 1 | 1 | 0 | 0 | 1 | 0 | 0111111110110000 | 0000010100111001 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 0 | 0 | 0 | 1 | 0 | 1110000011111111 | 0000010111110101 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 1 | 0 | 0 | 1 | 1 | 1110000110011101 | 1111101110000010 | 0 | 1 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 0 | 0 | 1 | 1 | 1 | 0001111001100011 | 0000010001111101 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 0 | 0 | 0 | 0 | 0 | 0110000100000000 | 0000000000111000 | 0 | 0 |
| 0110000101001110 | 0000000010111100 | 0111111110110001 | 0000010100111001 | 0 | 1 | 0 | 1 | 0 | 1 | 0111111111111111 | 0000010110111101 | 0 | 0 |
